date,open,high,low,close,volume,outstanding_share,turnover
2015-08-04,3621.86,3757.03,3601.29,3756.54,36290166400.0,11804054579.0,3.0743814472496602
2015-08-05,3745.65,3782.35,3676.39,3694.57,36642297600.0,11804054579.0,3.1042128240569533
2015-08-06,3625.5,3710.57,3614.74,3661.54,27407465600.0,11804054579.0,2.3218687626842427
2015-08-07,3692.61,3756.74,3686.3,3744.2,34075718400.0,11804054579.0,2.8867808236521033
2015-08-10,3786.03,3943.62,3775.85,3928.42,49730432000.0,11804054579.0,4.212995769137912
2015-08-11,3928.81,3970.34,3891.18,3927.91,53892345600.0,11804054579.0,4.5655791608992695
2015-08-12,3881.23,3937.77,3871.14,3886.32,44268828800.0,11804054579.0,3.750307024059042
2015-08-13,3869.91,3955.79,3838.16,3954.56,43007331200.0,11804054579.0,3.6434371691666168
2015-08-14,3976.4,4000.68,3939.84,3965.34,46798822400.0,11804054579.0,3.9646396148707606
2015-08-17,3947.84,3994.54,3907.4,3993.67,46043206400.0,11804054579.0,3.9006263561262378
2015-08-18,3999.13,4006.34,3743.39,3748.16,54377081600.0,11804054579.0,4.606644372581903
2015-08-19,3646.8,3811.43,3558.38,3794.11,47539622400.0,11804054579.0,4.027397711679117
2015-08-20,3754.57,3788.0,3663.61,3664.29,39006307200.0,11804054579.0,3.3044838058775294
2015-08-21,3609.96,3652.84,3490.54,3507.74,36992048000.0,11804054579.0,3.133842507455929
2015-08-24,3373.48,3388.36,3191.88,3209.9,33467180800.0,11804054579.0,2.8352275547369783
2015-08-25,3004.13,3123.03,2947.94,2964.97,35232512000.0,11804054579.0,2.9847805060712265
2015-08-26,2980.79,3092.04,2850.71,2927.29,46669964800.0,11804054579.0,3.9537232302388867
2015-08-27,2978.03,3085.42,2906.49,3083.59,40030838400.0,11804054579.0,3.391278660403422
2015-08-28,3125.26,3235.84,3102.94,3232.35,44313692800.0,11804054579.0,3.754107751995341
2015-08-31,3203.56,3207.86,3109.16,3205.99,39743139200.0,11804054579.0,3.366905747005357
2015-09-01,3157.83,3180.33,3053.74,3166.62,43243248000.0,11804054579.0,3.6634232509337843
2015-09-02,3027.68,3194.48,3019.09,3160.17,43817014400.0,11804054579.0,3.7120308201516323
2015-09-07,3149.38,3217.58,3066.3,3080.42,29646812800.0,11804054579.0,2.5115787631771167
2015-09-08,3054.44,3174.71,3011.12,3170.45,25541547200.0,11804054579.0,2.1637944003952407
2015-09-09,3182.55,3256.74,3165.7,3243.09,37532796800.0,11804054579.0,3.1796529360998305
2015-09-10,3190.55,3243.28,3178.9,3197.89,27326176000.0,11804054579.0,2.31498217981935
2015-09-11,3189.48,3223.76,3163.45,3200.23,22455782400.0,11804054579.0,1.9023787334862001
2015-09-14,3221.16,3229.48,3049.23,3114.8,34663116800.0,11804054579.0,2.9365432502885414
2015-09-15,3043.8,3081.7,2983.92,3005.17,24919444800.0,11804054579.0,2.111091967020631
2015-09-16,2998.04,3182.93,2983.54,3152.26,27752451200.0,11804054579.0,2.3510947881732935
2015-09-17,3131.98,3204.7,3085.31,3086.06,31760288000.0,11804054579.0,2.690625309078385
2015-09-18,3100.28,3122.05,3070.34,3097.92,20917539200.0,11804054579.0,1.7720639175299429
2015-09-21,3072.09,3159.88,3060.86,3156.54,23989736000.0,11804054579.0,2.032330148886208
2015-09-22,3161.32,3213.48,3152.48,3185.62,27478614400.0,11804054579.0,2.3278962509107526
2015-09-23,3137.72,3164.04,3104.74,3115.89,23632267200.0,11804054579.0,2.0020465884699465
2015-09-24,3126.49,3151.16,3109.69,3142.69,21288772800.0,11804054579.0,1.803513585736361
2015-09-25,3130.85,3149.95,3063.0,3092.35,23626387200.0,11804054579.0,2.0015484545481956
2015-09-28,3085.57,3103.07,3042.31,3100.76,15672753600.0,11804054579.0,1.3277432339124056
2015-09-29,3055.22,3068.3,3021.16,3038.14,16322267200.0,11804054579.0,1.3827678524155695
2015-09-30,3052.84,3073.3,3039.74,3052.78,14664244800.0,11804054579.0,1.2423057434932927
2015-10-08,3156.08,3172.28,3133.13,3143.36,23427604800.0,11804054579.0,1.984708274873523
2015-10-09,3146.64,3192.72,3137.79,3183.15,23485144000.0,11804054579.0,1.9895828033344778
2015-10-12,3193.54,3318.71,3188.41,3287.66,38629472000.0,11804054579.0,3.2725595888656556
2015-10-13,3262.16,3298.63,3253.25,3293.23,29715312000.0,11804054579.0,2.5173817861588863
2015-10-14,3280.02,3307.32,3256.25,3262.44,29507772800.0,11804054579.0,2.4997997596940795
2015-10-15,3255.03,3338.3,3254.39,3338.07,31628384000.0,11804054579.0,2.6794508436337177
2015-10-16,3358.3,3393.02,3334.85,3391.35,39546057600.0,11804054579.0,3.3502096534147174
2015-10-19,3401.63,3423.4,3355.57,3386.7,37811219200.0,11804054579.0,3.203239950048015
2015-10-20,3377.55,3425.52,3357.86,3425.33,31897376000.0,11804054579.0,2.702238945654065
2015-10-21,3428.56,3447.26,3265.44,3320.68,45845542400.0,11804054579.0,3.883880923556682
2015-10-22,3292.29,3373.78,3282.99,3368.74,32373932800.0,11804054579.0,2.742611242885545
2015-10-23,3377.55,3422.02,3360.22,3412.43,34737286400.0,11804054579.0,2.942826650581518
2015-10-26,3448.65,3457.52,3402.0,3429.58,36556086400.0,11804054579.0,3.0969092997108887
2015-10-27,3409.14,3441.56,3332.62,3434.34,32817276800.0,11804054579.0,2.780169862852343
2015-10-28,3417.01,3439.76,3367.23,3375.2,29352329600.0,11804054579.0,2.486631132002664
2015-10-29,3387.77,3411.71,3362.51,3387.32,23567603200.0,11804054579.0,1.9965684707971394
2015-10-30,3380.28,3417.2,3346.59,3382.56,24359512000.0,11804054579.0,2.0636563340986904
2015-11-02,3337.58,3391.06,3322.31,3325.08,23095113600.0,11804054579.0,1.9565407331382012
2015-11-03,3330.32,3346.28,3302.18,3316.7,19289742400.0,11804054579.0,1.6341624202854341
2015-11-04,3325.62,3459.65,3325.62,3459.64,33907872000.0,11804054579.0,2.872561438365745
2015-11-05,3459.22,3585.66,3455.52,3522.82,55325497600.0,11804054579.0,4.686991002094044
2015-11-06,3514.44,3596.38,3508.83,3590.03,42916704000.0,11804054579.0,3.635759536079319
2015-11-09,3588.5,3673.76,3588.5,3646.88,50301667200.0,11804054579.0,4.261388903562778
2015-11-10,3617.4,3669.53,3607.89,3640.48,42974656000.0,11804054579.0,3.6406690355747804
2015-11-11,3635.0,3654.88,3605.62,3650.25,36097264000.0,11804054579.0,3.058039401496739
2015-11-12,3656.82,3659.32,3603.23,3632.9,36171760000.0,11804054579.0,3.064350453305372
2015-11-13,3600.76,3632.56,3564.81,3580.84,34587094400.0,11804054579.0,2.930102886980221
2015-11-16,3522.46,3607.61,3519.42,3606.96,27618707200.0,11804054579.0,2.339764444086446
2015-11-17,3629.98,3678.27,3598.07,3604.8,38357545600.0,11804054579.0,3.2495228942976917
2015-11-18,3605.06,3617.07,3558.7,3568.47,29758073600.0,11804054579.0,2.521004405803163
2015-11-19,3573.78,3618.21,3561.04,3617.06,24791558400.0,11804054579.0,2.1002578592024994
2015-11-20,3620.79,3640.53,3607.92,3630.5,31080198400.0,11804054579.0,2.633010394182116
2015-11-23,3630.87,3654.75,3598.87,3610.32,31599747200.0,11804054579.0,2.6770248297748065
2015-11-24,3602.89,3616.48,3563.1,3616.11,24881052800.0,11804054579.0,2.1078395252648723
2015-11-25,3614.07,3648.37,3607.52,3647.93,27302486400.0,11804054579.0,2.3129752761879363
2015-11-26,3659.57,3668.38,3629.86,3635.55,30676156800.0,11804054579.0,2.598781342012295
2015-11-27,3616.54,3621.9,3412.43,3436.3,35428752000.0,11804054579.0,3.001405302126399
2015-11-30,3433.86,3470.37,3327.81,3445.4,30419788800.0,11804054579.0,2.577062703023952
2015-12-01,3442.44,3483.41,3417.54,3456.31,25239075200.0,11804054579.0,2.1381699848204336
2015-12-02,3450.28,3538.85,3427.66,3536.9,30149148800.0,11804054579.0,2.5541349879588693
2015-12-03,3525.73,3591.73,3517.23,3584.82,28111126400.0,11804054579.0,2.381480550760168
2015-12-04,3558.15,3568.97,3510.41,3524.99,25173641600.0,11804054579.0,2.1326266692112013
2015-12-07,3529.81,3543.94,3506.62,3536.93,20830257600.0,11804054579.0,1.764669712478123
2015-12-08,3518.65,3518.65,3466.79,3470.07,22436731200.0,11804054579.0,1.900764779579727
2015-12-09,3462.58,3495.7,3454.88,3472.44,19569884500.0,11804054579.0,1.6578951214623996
2015-12-10,3469.81,3503.65,3446.27,3455.5,20042752000.0,11804054579.0,1.6979548735446421
2015-12-11,3441.6,3455.55,3410.92,3434.58,18290888000.0,11804054579.0,1.5495428183245101
2015-12-14,3403.51,3521.78,3399.28,3520.67,21537462400.0,11804054579.0,1.8245817363735521
2015-12-15,3518.13,3529.96,3496.85,3510.35,20047134400.0,11804054579.0,1.6983261358063229
2015-12-16,3522.09,3538.69,3506.29,3516.19,19348230400.0,11804054579.0,1.6391173279070959
